review_id,actual_stars,sentiment_stars,sentiment_explanation,human_stars,human_explanation,product_stars,product_explanation
hwYVJs8Ko4PMjI19QcR57g,4,4.0,"Positive sentiment: enjoyed food, service, and atmosphere despite the emptiness.",4.0,"Positive food, service, and drinks despite late-night emptiness. Update adds patio praise → solid 4 stars.",4,"High F (well made grub), S (friendly), A (atmosphere works). Overall_score ~0.78. No overrides."
0mvthYPKb2ZmKhCADiKSmQ,5,5.0,Extremely positive sentiment: high praise for crawfish etouffee from a Louisiana native.,5.0,Strong positive praise from a Louisiana native about authenticity. No negatives → 5 stars.,5,"Strong positive on Food (F=1.0). No service/price mentions. Overall 0.40*1.0=0.40 → 3 stars, but explicit superlative 'best' enforces 5."
XJHknNIecha6h0wkBSZB4w,3,4.0,Positive sentiment: consistent visits and good food indicate a solid 4-star experience.,4.0,"Consistent visits, good food, and satisfying drinks indicate positive experience with minor ambiance caveats.",4,"Positive F and A; neutral S, P, C. Overall score ~0.65. No overrides applied."
z6y3GRpYDqTznVe-0dn--Q,1,1.0,"Strong negative sentiment: the reviewer was overcharged and treated unfairly, leading to a 1-star rating.",1.0,"Severe service fraud (quoted $3000 vs $100 fix), denied warranty help, and lost customer for life → 1 star.",1,"Severe service failure (overquoted $3000 vs $100 fix, dishonest diagnosis) → override to 1 star."
vhWHdemMvsqVNv5zi2OMiA,5,5.0,Strong positive sentiment: enthusiastic praise and multiple visits justify 5 stars.,5.0,"Repeated visits, strong praise for squid salad and variety → clear positive sentiment with no negatives.",5,"Strong positive sentiment on Food (F=1.0) and Ambiance (A=1.0). Overall_score 0.55 maps to 3 stars, but explicit superlative 'Love this place' enforces 5 stars."
dg1Sw8sihJCUKGiQ7Yl_tg,4,5.0,"Strong positive sentiment: the reviewer praises location, value, cleanliness, and explicitly calls it a great choice.",4.0,"Strong positives in location, price, cleanliness, and rooms. Minor noise issue noted but overall recommendation → 4 stars.",4,"High F (breakfast), S (smooth stay), A (location, room size). P strong (price, free parking). Minor A deduction (noise). Overall 0.76 → 4 stars. No overrides."
ZQ2S7QL9ubt_zZdcE4Kz9Q,4,5.0,"Strong positive sentiment: enthusiastic praise for food, service, and late hours.",5.0,"Strong praise for food quality, happy hour value, and late-night service. Service is mixed but resolved positively.",5,"High F (top seafood, quality salmon, late hours) and S (quick service when noticed). Good P (happy hour, not expensive). Overall 0.86. No overrides."
DFBb_9IR5sc0sCsi7Hhn5w,4,5.0,Strong positive sentiment: enthusiastic praise with exclamation marks indicates high satisfaction.,5.0,"Enthusiastic praise for ramen and boba with no negatives → strong positive sentiment, 5 stars.",5,Strong positive sentiment on food and ambiance implied; overall_score >=0.80 → 5 stars.
7ZrirtO2rOCR8aHNIU6SfA,5,5.0,"Strong positive sentiment: enthusiastic praise of food, portions, and seating options.",5.0,"Enthusiastic praise for food, portions, and ambiance with no negatives → 5 stars.",5,"High Food (awesome) and Ambiance (home office, seating) scores. Overall_score >= 0.80 → 5 stars."
XFVJstX3gRXv3Bhitzk9rA,1,1.0,Strong negative sentiment: repeated poor food portions and service justify 1 star.,1.0,"Severe food portion issues repeated, explicit 1 star for service, and 'not going back' → strong 1 star.",1,Low F (0.1) and S (0.1) scores; overall_score 0.09 → 1 star.
